id,first_name,last_name,email,gender,transaction_per_year,discount_ratio,no_of_transactions,time_in_system,churned
1,Todd,Coleman,tcoleman0@merriam-webster.com,Male,466005,0.9,9,5,1
2,Katherine,Fisher,kfisher1@google.ru,Female,276197,0.8,16,5,0
3,Henry,Green,hgreen2@stanford.edu,Male,215508,0.4,15,9,1
4,Timothy,Woods,twoods3@google.nl,Male,67719,0.1,15,11,1
5,Russell,Hanson,rhanson4@wikia.com,Male,240323,0.5,13,3,0
6,Joe,Lynch,jlynch5@google.es,Male,366944,0.2,16,5,0
7,Paul,Jacobs,pjacobs6@istockphoto.com,Male,180658,0.4,12,4,1
8,Keith,Stone,kstone7@dion.ne.jp,Male,208745,0.3,9,5,1
9,Gregory,Peterson,gpeterson8@yolasite.com,Male,277769,0.3,6,6,1
10,Fred,Taylor,ftaylor9@vimeo.com,Male,432171,0,11,8,1
11,Sharon,Myers,smyersa@abc.net.au,Female,459088,0.9,17,9,1
12,Matthew,Davis,mdavisb@t.co,Male,271325,0.6,12,12,0
13,Deborah,Fields,dfieldsc@fc2.com,Female,121620,0.9,14,11,1
14,Andrew,Hicks,ahicksd@xing.com,Male,225270,0.8,15,9,1
15,Emily,Weaver,eweavere@about.me,Female,73031,0.6,17,3,0
16,Betty,Romero,bromerof@cdc.gov,Female,319397,0.9,12,8,1
17,Betty,Bell,bbellg@skyrock.com,Female,495324,0.6,15,10,0
18,Martin,Mendoza,mmendozah@theatlantic.com,Male,466814,0.9,7,4,0
19,Debra,Burns,dburnsi@seesaa.net,Female,320983,0.2,6,9,1
20,Jeffrey,Warren,jwarrenj@tripadvisor.com,Male,234483,0.9,5,6,0
21,Gregory,Meyer,gmeyerk@apache.org,Male,454283,0.5,5,3,1
22,Amy,Kelly,akellyl@csmonitor.com,Female,322626,1,20,5,0
23,Joshua,Lee,jleem@addthis.com,Male,492479,0.4,15,6,0
24,Stephanie,Clark,sclarkn@newsvine.com,Female,291561,0.9,7,10,0
25,Scott,Rodriguez,srodriguezo@google.com.br,Male,136391,0.3,15,5,1
26,Melissa,Baker,mbakerp@narod.ru,Female,240519,0.6,17,3,0
27,Clarence,Moore,cmooreq@tinypic.com,Male,441460,0.8,14,4,0
28,Philip,Berry,pberryr@zimbio.com,Male,318948,0.6,12,4,1
29,Howard,Moore,hmoores@irs.gov,Male,374995,0.8,12,10,1
30,Russell,Ortiz,rortizt@slideshare.net,Male,81091,0.3,15,6,0
31,Brandon,Parker,bparkeru@upenn.edu,Male,83875,0.1,12,5,0
32,Stephen,Meyer,smeyerv@google.co.uk,Male,102060,0.7,15,12,0
33,Nicholas,Willis,nwillisw@reuters.com,Male,317757,0.1,12,3,1
34,Terry,Hill,thillx@discovery.com,Male,436334,0.5,15,3,1
35,Sarah,Cook,scooky@illinois.edu,Female,319707,0.9,11,12,1
36,Robin,Evans,revansz@meetup.com,Female,286633,0.5,5,11,1
37,Doris,Willis,dwillis10@over-blog.com,Female,435864,0.8,8,11,0
38,Wanda,Hudson,whudson11@hatena.ne.jp,Female,387120,0,18,3,0
39,Ernest,Vasquez,evasquez12@odnoklassniki.ru,Male,331862,0.9,10,8,0
40,Carlos,Turner,cturner13@storify.com,Male,176893,0.8,12,12,0
41,Carl,Warren,cwarren14@webmd.com,Male,195408,0.8,6,6,0
42,Joseph,Hansen,jhansen15@mysql.com,Male,285196,0.9,17,4,0
43,Kevin,Jackson,kjackson16@biglobe.ne.jp,Male,383490,0.2,12,9,0
44,Lawrence,Lynch,llynch17@businesswire.com,Male,408813,0.7,19,12,1
45,Carol,Lewis,clewis18@ucla.edu,Female,249995,0.5,19,9,0
46,Paula,Sims,psims19@disqus.com,Female,255118,0.6,5,9,1
47,Samuel,Hudson,shudson1a@deliciousdays.com,Male,243942,0.5,11,3,0
48,Louise,Reed,lreed1b@vkontakte.ru,Female,447165,1,11,9,0
49,Anna,Chavez,achavez1c@spotify.com,Female,424958,0.2,11,12,0
50,Bruce,Bowman,bbowman1d@alibaba.com,Male,281791,0.3,13,10,1
51,Shawn,Alvarez,salvarez1e@youku.com,Male,104145,0.5,18,9,1
52,Scott,Thomas,sthomas1f@buzzfeed.com,Male,240246,0.1,9,4,1
53,Sharon,Sanders,ssanders1g@furl.net,Female,184952,0.1,12,5,1
54,Nicholas,Rice,nrice1h@tinypic.com,Male,137360,1,14,5,1
55,Janice,Lawson,jlawson1i@ca.gov,Female,234400,0,14,11,1
56,Maria,Williams,mwilliams1j@statcounter.com,Female,450583,0.2,10,4,0
57,Steven,Frazier,sfrazier1k@chron.com,Male,118882,0.4,20,4,0
58,Heather,Mason,hmason1l@i2i.jp,Female,125585,0.8,15,9,1
59,Ashley,Wheeler,awheeler1m@comcast.net,Female,148464,0.6,14,7,1
60,Stephanie,Montgomery,smontgomery1n@japanpost.jp,Female,396969,0.1,19,10,0
61,Joseph,Gonzalez,jgonzalez1o@nih.gov,Male,380344,0.9,15,4,1
62,Ronald,Sanders,rsanders1p@prweb.com,Male,85609,0.6,10,5,0
63,Sharon,Payne,spayne1q@examiner.com,Female,489491,0.1,6,5,0
64,Laura,Baker,lbaker1r@mit.edu,Female,441845,0.6,15,12,1
65,Charles,Payne,cpayne1s@wiley.com,Male,77051,0.2,16,3,0
66,William,Stanley,wstanley1t@surveymonkey.com,Male,190571,0.8,19,12,0
67,Frances,Stone,fstone1u@epa.gov,Female,123745,0.5,17,6,1
68,Helen,Bennett,hbennett1v@t.co,Female,201720,1,14,3,1
69,Beverly,Lynch,blynch1w@vimeo.com,Female,69557,0.1,14,9,0
70,Eugene,Edwards,eedwards1x@sourceforge.net,Male,309038,0.4,12,9,1
71,Betty,Fields,bfields1y@furl.net,Female,88630,0.1,10,3,1
72,Marilyn,Thomas,mthomas1z@plala.or.jp,Female,497028,0,15,9,0
73,Johnny,Johnston,jjohnston20@ameblo.jp,Male,468861,0.1,13,4,1
74,Eugene,Banks,ebanks21@liveinternet.ru,Male,341189,0.3,19,4,1
75,Victor,Sanders,vsanders22@examiner.com,Male,357666,0.9,17,11,0
76,Robin,Stanley,rstanley23@privacy.gov.au,Female,363996,0.4,11,8,1
77,Catherine,Anderson,canderson24@behance.net,Female,107441,0.8,17,4,1
78,Shawn,Ramirez,sramirez25@abc.net.au,Male,310656,0.8,8,11,0
79,Joyce,Simpson,jsimpson26@sfgate.com,Female,227881,0.3,15,6,0
80,Richard,Fox,rfox27@cbsnews.com,Male,492771,0.4,11,8,0
81,Douglas,Walker,dwalker28@netscape.com,Male,270531,0.5,15,12,0
82,John,Little,jlittle29@sohu.com,Male,306816,0.5,8,6,0
83,Phillip,Henry,phenry2a@feedburner.com,Male,336991,0.8,14,11,0
84,Barbara,Butler,bbutler2b@hugedomains.com,Female,227022,0.8,16,3,1
85,Lisa,Nguyen,lnguyen2c@goodreads.com,Female,486600,0.3,8,10,1
86,Roy,Lopez,rlopez2d@histats.com,Male,84835,0.3,5,7,0
87,Joe,Lopez,jlopez2e@stumbleupon.com,Male,100814,0.6,14,8,0
88,Deborah,Stewart,dstewart2f@ucsd.edu,Female,470228,0.1,8,10,0
89,Albert,Williams,awilliams2g@businessweek.com,Male,138748,0.3,19,10,1
90,Amy,Garza,agarza2h@hatena.ne.jp,Female,447359,0.1,13,12,1
91,Brandon,Moore,bmoore2i@europa.eu,Male,459897,0.4,8,10,1
92,Joseph,Graham,jgraham2j@house.gov,Male,93937,0.6,14,3,1
93,Marie,Frazier,mfrazier2k@earthlink.net,Female,371288,0.5,9,12,0
94,Adam,Nelson,anelson2l@wikispaces.com,Male,135096,0.9,14,9,0
95,Marie,Tucker,mtucker2m@vk.com,Female,138661,0.8,13,9,0
96,Betty,Walker,bwalker2n@google.de,Female,153649,1,17,11,1
