"","id","first_name","last_name","email","gender","transaction_per_year","discount_ratio","no_of_transactions","time_in_system","churned","predict"
"1",1,"Todd","Coleman","tcoleman0@merriam-webster.com","Male",466005,0.9,9,5,1,0.495067146410353
"2",2,"Katherine","Fisher","kfisher1@google.ru","Female",276197,0.8,16,5,0,0.513164786742318
"3",3,"Henry","Green","hgreen2@stanford.edu","Male",215508,0.4,15,9,1,0.492724000293893
"4",4,"Timothy","Woods","twoods3@google.nl","Male",67719,0.1,15,11,1,0.488051964984015
"5",5,"Russell","Hanson","rhanson4@wikia.com","Male",240323,0.5,13,3,0,0.536606021820401
"6",6,"Joe","Lynch","jlynch5@google.es","Male",366944,0.2,16,5,0,0.535735610144573
"7",7,"Paul","Jacobs","pjacobs6@istockphoto.com","Male",180658,0.4,12,4,1,0.5303895207329
"8",8,"Keith","Stone","kstone7@dion.ne.jp","Male",208745,0.3,9,5,1,0.519888254140125
"9",9,"Gregory","Peterson","gpeterson8@yolasite.com","Male",277769,0.3,6,6,1,0.505262678539815
"10",10,"Fred","Taylor","ftaylor9@vimeo.com","Male",432171,0,11,8,1,0.507929972398595
"11",11,"Sharon","Myers","smyersa@abc.net.au","Female",459088,0.9,17,9,1,0.47556829539727
"12",12,"Matthew","Davis","mdavisb@t.co","Male",271325,0.6,12,12,0,0.453258144659566
"13",13,"Deborah","Fields","dfieldsc@fc2.com","Female",121620,0.9,14,11,1,0.454967942486948
"14",14,"Andrew","Hicks","ahicksd@xing.com","Male",225270,0.8,15,9,1,0.477222469184796
"15",15,"Emily","Weaver","eweavere@about.me","Female",73031,0.6,17,3,0,0.541262850356092
"16",16,"Betty","Romero","bromerof@cdc.gov","Female",319397,0.9,12,8,1,0.475781445635535
"17",17,"Betty","Bell","bbellg@skyrock.com","Female",495324,0.6,15,10,0,0.474592211295069
"18",18,"Martin","Mendoza","mmendozah@theatlantic.com","Male",466814,0.9,7,4,0,0.499947809688046
"19",19,"Debra","Burns","dburnsi@seesaa.net","Female",320983,0.2,6,9,1,0.483033137225362
"20",20,"Jeffrey","Warren","jwarrenj@tripadvisor.com","Male",234483,0.9,5,6,0,0.480526291042841
"21",21,"Gregory","Meyer","gmeyerk@apache.org","Male",454283,0.5,5,3,1,0.520353140153489
"22",22,"Amy","Kelly","akellyl@csmonitor.com","Female",322626,1,20,5,0,0.512580049642746
"23",23,"Joshua","Lee","jleem@addthis.com","Male",492479,0.4,15,6,0,0.516742762020187
"24",24,"Stephanie","Clark","sclarkn@newsvine.com","Female",291561,0.9,7,10,0,0.449461605830457
"25",25,"Scott","Rodriguez","srodriguezo@google.com.br","Male",136391,0.3,15,5,1,0.531508139340392
"26",26,"Melissa","Baker","mbakerp@narod.ru","Female",240519,0.6,17,3,0,0.540179838745846
"27",27,"Clarence","Moore","cmooreq@tinypic.com","Male",441460,0.8,14,4,0,0.516982056873328
"28",28,"Philip","Berry","pberryr@zimbio.com","Male",318948,0.6,12,4,1,0.52177610534128
"29",29,"Howard","Moore","hmoores@irs.gov","Male",374995,0.8,12,10,1,0.462075064438765
"30",30,"Russell","Ortiz","rortizt@slideshare.net","Male",81091,0.3,15,6,0,0.523262482842463
"31",31,"Brandon","Parker","bparkeru@upenn.edu","Male",83875,0.1,12,5,0,0.533990907801816
"32",32,"Stephen","Meyer","smeyerv@google.co.uk","Male",102060,0.7,15,12,0,0.456069059439313
"33",33,"Nicholas","Willis","nwillisw@reuters.com","Male",317757,0.1,12,3,1,0.549685054210609
"34",34,"Terry","Hill","thillx@discovery.com","Male",436334,0.5,15,3,1,0.539055917821242
"35",35,"Sarah","Cook","scooky@illinois.edu","Female",319707,0.9,11,12,1,0.439507819173051
"36",36,"Robin","Evans","revansz@meetup.com","Female",286633,0.5,5,11,1,0.452611298564146
"37",37,"Doris","Willis","dwillis10@over-blog.com","Female",435864,0.8,8,11,0,0.445643549156921
"38",38,"Wanda","Hudson","whudson11@hatena.ne.jp","Female",387120,0,18,3,0,0.564248170355159
"39",39,"Ernest","Vasquez","evasquez12@odnoklassniki.ru","Male",331862,0.9,10,8,0,0.471983501246405
"40",40,"Carlos","Turner","cturner13@storify.com","Male",176893,0.8,12,12,0,0.446149557243441
"41",41,"Carl","Warren","cwarren14@webmd.com","Male",195408,0.8,6,6,0,0.486497231554986
"42",42,"Joseph","Hansen","jhansen15@mysql.com","Male",285196,0.9,17,4,0,0.519708904532179
"43",43,"Kevin","Jackson","kjackson16@biglobe.ne.jp","Male",383490,0.2,12,9,0,0.49378098366005
"44",44,"Lawrence","Lynch","llynch17@businesswire.com","Male",408813,0.7,19,12,1,0.461520218207534
"45",45,"Carol","Lewis","clewis18@ucla.edu","Female",249995,0.5,19,9,0,0.49607608461087
"46",46,"Paula","Sims","psims19@disqus.com","Female",255118,0.6,5,9,1,0.466161954164995
"47",47,"Samuel","Hudson","shudson1a@deliciousdays.com","Male",243942,0.5,11,3,0,0.532865277473688
"48",48,"Louise","Reed","lreed1b@vkontakte.ru","Female",447165,1,11,9,0,0.460633760483062
"49",49,"Anna","Chavez","achavez1c@spotify.com","Female",424958,0.2,11,12,0,0.465844458755392
"50",50,"Bruce","Bowman","bbowman1d@alibaba.com","Male",281791,0.3,13,10,1,0.483834422142066
"51",51,"Shawn","Alvarez","salvarez1e@youku.com","Male",104145,0.5,18,9,1,0.495160508917638
"52",52,"Scott","Thomas","sthomas1f@buzzfeed.com","Male",240246,0.1,9,4,1,0.536007003843793
"53",53,"Sharon","Sanders","ssanders1g@furl.net","Female",184952,0.1,12,5,1,0.533337323279171
"54",54,"Nicholas","Rice","nrice1h@tinypic.com","Male",137360,1,14,5,1,0.502625987970324
"55",55,"Janice","Lawson","jlawson1i@ca.gov","Female",234400,0,14,11,1,0.488975102029627
"56",56,"Maria","Williams","mwilliams1j@statcounter.com","Female",450583,0.2,10,4,0,0.532645991420412
"57",57,"Steven","Frazier","sfrazier1k@chron.com","Male",118882,0.4,20,4,0,0.545658349578752
"58",58,"Heather","Mason","hmason1l@i2i.jp","Female",125585,0.8,15,9,1,0.477867052751185
