,id,first_name,last_name,email,gender,Age,Number.of.Orders_1,Value.of.Orders_1,Weekend.Orders_1,Number.of.Orders_2,Value.of.Orders_2,Weekend.Orders_2,Number.of.Orders_3,Value.of.Orders_3,Weekend.Orders_3,Offers.Availed,Location,Customer.Importance,PredClass
701,701,Faustina,Seakes,fseakesjg@goo.ne.jp,Female,25,50,6415,0,3,4037,0,11,912,0.9,0.9,560008,2,2
702,702,Korry,Rosini,krosinijh@digg.com,Female,29,11,1468,0.6,36,293,0.5,17,7894,0.2,0.1,560007,1,1
703,703,Benedick,Delgardo,bdelgardoji@google.com.br,Male,51,44,5531,0.3,19,3751,0.4,39,4277,0.7,0.1,560008,2,2
704,704,Elroy,Atcherley,eatcherleyjj@toplist.cz,Male,89,20,8328,0.6,40,4534,0.1,14,424,0.3,0.6,560007,2,2
705,705,Elvyn,Udale,eudalejk@mtv.com,Male,47,7,2481,0,24,3170,0,48,4910,0,0.1,560004,2,2
706,706,Arlena,Collicott,acollicottjl@goo.gl,Female,71,1,6149,0.7,25,8526,0.4,35,7501,0.8,0.4,560000,2,2
707,707,Morissa,Antosch,mantoschjm@liveinternet.ru,Female,61,7,6004,0.2,16,4607,0.9,16,746,0.6,0.5,560004,1,1
708,708,Sara-ann,Dulinty,sdulintyjn@utexas.edu,Female,59,28,236,0.7,16,3575,0.3,36,1365,0.9,0.3,560003,1,1
709,709,Lyon,Gritsunov,lgritsunovjo@usa.gov,Male,100,2,1151,0.7,17,8398,0.6,34,3212,0.3,0.3,560007,1,1
710,710,Colline,Alvares,calvaresjp@devhub.com,Female,19,10,50,0.7,21,5891,0.8,40,4667,0.5,0.2,560009,1,1
711,711,Mirelle,Dewick,mdewickjq@sbwire.com,Female,33,44,9421,0.9,14,6952,0.7,31,5884,0.1,0.1,560001,3,2
712,712,Carver,McCurley,cmccurleyjr@fema.gov,Male,21,33,2553,0.6,38,6567,0.7,26,2930,0.3,0,560002,2,2
713,713,Devlin,Flintiff,dflintiffjs@dot.gov,Male,43,10,6543,0.5,2,178,0.1,37,8160,0,0.5,560008,2,2
714,714,Kevin,Macura,kmacurajt@bravesites.com,Male,46,7,9336,1,36,5950,0.5,45,7958,0.9,0.6,560010,2,2
715,715,L;urette,Doyley,ldoyleyju@sfgate.com,Female,33,38,6793,0.8,21,5790,0.1,45,9455,0.8,0,560010,3,3
716,716,Gage,Endacott,gendacottjv@newyorker.com,Male,46,6,4242,0.6,11,9641,0.6,22,209,0.4,0.2,560001,1,1
717,717,Esteban,Pidcock,epidcockjw@people.com.cn,Male,93,40,3875,0.6,38,3292,0.6,50,7104,0.6,0.7,560003,3,2
